Class,bma280_x[mg],bma280_y[mg],bma280_z[mg]
fan-balance,105,488,1251
fan-balance,-74,-273,931
fan-balance,68,-292,966
fan-balance,50,-203,1128
fan-balance,48,220,1107
fan-balance,-42,234,1087
fan-balance,-66,205,929
fan-balance,-11,-42,958
fan-balance,111,-230,1103
fan-balance,95,-234,1123
fan-balance,19,-9,1058
fan-balance,9,171,1083
fan-balance,-19,224,1076
fan-balance,-39,197,978
fan-balance,-5,-23,972
fan-balance,74,-218,1009
fan-balance,91,-216,1113
fan-balance,7,17,1083
fan-balance,11,205,1121
fan-balance,-27,138,1044
fan-balance,13,46,980
fan-balance,17,-37,994
fan-balance,9,-201,980
fan-balance,42,-228,1054
fan-balance,15,-35,1091
fan-balance,11,220,1126
fan-balance,1,150,1070
fan-balance,-33,154,974
fan-balance,-9,-56,945
fan-balance,85,-205,1085
fan-balance,85,-185,1128
fan-balance,3,41,1066
fan-balance,11,132,1087
fan-balance,-29,154,1042
fan-balance,-33,187,990
fan-balance,-3,-9,972
fan-balance,56,-199,1011
fan-balance,66,-191,1101
fan-balance,0,13,1060
fan-balance,29,193,1142
fan-balance,-31,296,1058
fan-balance,1,52,998
fan-balance,80,-17,1091
fan-balance,42,-242,1005
fan-balance,41,-210,1103
fan-balance,-5,-11,1082
fan-balance,0,134,1089
fan-balance,-60,201,1007
fan-balance,-46,205,976
fan-balance,-58,-52,927
fan-balance,35,-246,1046
fan-balance,-275,-410,873
fan-balance,-146,-115,910
fan-balance,7,232,943
fan-balance,-27,68,1121
fan-balance,-44,349,785
fan-balance,-113,292,771
fan-balance,95,-210,1660
fan-balance,167,-60,1068
fan-balance,66,-173,1091
fan-balance,58,-201,980
fan-balance,58,62,1132
fan-balance,13,162,843
fan-balance,-21,167,1162
fan-balance,-50,136,976
fan-balance,-50,130,1007
fan-balance,138,-210,1109
fan-balance,42,-156,935
fan-balance,85,-171,1033
fan-balance,44,173,1027
fan-balance,-5,125,890
fan-balance,-50,125,980
fan-balance,-85,148,1031
fan-balance,179,-414,1560
fan-balance,72,-177,1144
fan-balance,35,-175,1041
fan-balance,33,162,927
fan-balance,-5,164,1035
fan-balance,-72,121,988
fan-balance,-50,158,1001
fan-balance,58,-242,1265
fan-balance,70,-173,988
fan-balance,21,-160,1083
fan-balance,27,148,853
fan-balance,-7,138,947
fan-balance,-66,117,980
fan-balance,-89,146,1007
fan-balance,193,-435,1607
fan-balance,78,-187,1130
fan-balance,29,-304,1054
fan-balance,13,162,896
fan-balance,-3,107,839
fan-balance,-48,140,1039
fan-balance,-91,160,1031
fan-balance,121,-328,1486
fan-balance,74,-246,1292
fan-balance,128,-113,1093
fan-balance,17,181,882
fan-balance,-5,146,966
fan-balance,-60,142,1007
fan-balance,-56,146,1033
fan-balance,134,-132,996
fan-balance,76,-332,1019
fan-balance,113,-21,1130
fan-balance,19,164,818
fan-balance,-7,121,898
fan-balance,-62,123,1021
fan-balance,-85,146,1031
fan-balance,164,-369,1548
fan-balance,72,-210,1216
fan-balance,115,-89,1078
fan-balance,21,173,837
fan-balance,-1,169,1031
fan-balance,-72,138,1025
fan-balance,-105,146,1041
fan-balance,82,-277,1371
fan-balance,78,-244,1279
fan-balance,146,-107,1066
fan-balance,29,189,898
fan-balance,-3,160,931
fan-balance,-54,132,1011
fan-balance,0,107,1041
fan-balance,82,-232,1201
fan-balance,48,-496,1000
fan-balance,37,220,1234
fan-balance,13,162,830
fan-balance,0,138,853
fan-balance,-54,142,1031
fan-balance,-107,130,1037
fan-balance,134,-347,1505
fan-balance,70,-300,1287
fan-balance,101,-70,1031
fan-balance,31,171,869
fan-balance,-1,173,968
fan-balance,-56,138,1015
fan-balance,-54,138,1013
fan-balance,173,-365,1373
fan-balance,80,-236,1230
fan-balance,142,-68,972
fan-balance,54,214,904
fan-balance,0,154,878
